# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	max(p)
46.9          	2.318930e+00
46.95         	2.299766e+00
47            	2.326497e+00
47.05         	2.285301e+00
47.1          	2.303128e+00
47.15         	2.263047e+00
47.2          	2.291123e+00
47.25         	2.285456e+00
47.3          	2.250392e+00
47.35         	2.286674e+00
47.4          	2.284914e+00
47.45         	2.296098e+00
47.5          	2.286554e+00
47.55         	2.176208e+00
47.6          	2.183936e+00
47.65         	2.192608e+00
47.7          	2.183841e+00
47.75         	2.154832e+00
47.8          	2.141203e+00
47.85         	2.130956e+00
47.9          	2.128991e+00
47.95         	2.118708e+00
48            	2.127465e+00
48.05         	2.121749e+00
48.1          	2.114292e+00
48.15         	2.098241e+00
48.2          	2.079202e+00
48.25         	2.069711e+00
48.3          	2.056522e+00
48.35         	2.058600e+00
48.4          	2.054787e+00
48.45         	2.088116e+00
48.5          	2.101448e+00
48.55         	2.116876e+00
48.6          	2.145858e+00
48.65         	2.172341e+00
48.7          	2.171068e+00
48.75         	2.179919e+00
48.8          	2.181685e+00
48.85         	2.208646e+00
48.9          	2.211162e+00
48.95         	2.209618e+00
49            	2.216213e+00
49.05         	2.218722e+00
49.1          	2.211065e+00
49.15         	2.209239e+00
49.2          	2.206576e+00
49.25         	2.213713e+00
49.3          	2.212204e+00
49.35         	2.216570e+00
49.4          	2.250840e+00
49.45         	2.252623e+00
49.5          	2.253934e+00
49.55         	2.251230e+00
49.6          	2.277100e+00
49.65         	2.279641e+00
49.7          	2.269100e+00
49.75         	2.254490e+00
49.8          	2.244145e+00
49.85         	2.250658e+00
49.9          	2.258243e+00
49.95         	2.245590e+00
50            	2.260224e+00
50.05         	2.240644e+00
50.1          	2.207555e+00
50.15         	2.181326e+00
50.2          	2.155739e+00
50.25         	2.129877e+00
50.3          	2.098819e+00
50.35         	2.071244e+00
50.4          	2.047517e+00
50.45         	2.021866e+00
50.5          	1.997746e+00
50.55         	1.978193e+00
50.6          	1.957040e+00
50.65         	1.948595e+00
50.7          	1.934532e+00
50.75         	1.956086e+00
50.8          	1.944219e+00
50.85         	1.936751e+00
50.9          	1.913284e+00
50.95         	1.965143e+00
51            	1.969222e+00
51.05         	1.970419e+00
51.1          	2.002375e+00
51.15         	2.003220e+00
51.2          	2.012622e+00
51.25         	2.028290e+00
51.3          	2.061706e+00
51.35         	2.069514e+00
51.4          	2.089307e+00
51.45         	2.106635e+00
51.5          	2.132274e+00
51.55         	2.169144e+00
51.6          	2.199690e+00
51.65         	2.222579e+00
51.7          	2.250389e+00
51.75         	2.245772e+00
51.8          	2.290951e+00
51.85         	2.329395e+00
51.9          	2.316304e+00
51.95         	2.330191e+00
52            	2.349072e+00
52.05         	2.352723e+00
52.1          	2.382566e+00
52.15         	2.382315e+00
52.2          	2.396382e+00
52.25         	2.413319e+00
52.3          	2.401286e+00
52.35         	2.404080e+00
52.4          	2.385962e+00
52.45         	2.429868e+00
52.5          	2.421541e+00
52.55         	2.407366e+00
52.6          	2.398617e+00
52.65         	2.368570e+00
52.7          	2.374403e+00
52.75         	2.358438e+00
52.8          	2.348363e+00
52.85         	2.342446e+00
52.9          	2.330682e+00
52.95         	2.309591e+00
53            	2.296994e+00
53.05         	2.318003e+00
53.1          	2.322785e+00
53.15         	2.278219e+00
53.2          	2.300753e+00
53.25         	2.310686e+00
53.3          	2.275724e+00
53.35         	2.306447e+00
53.4          	2.307190e+00
