# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
36.05         	3.817373e-03
36.1          	1.277251e-03
36.15         	2.573202e-03
36.2          	6.079697e-03
36.25         	1.047641e-02
36.3          	1.528790e-02
36.35         	2.087663e-02
36.4          	2.513783e-02
36.45         	2.705011e-02
36.5          	2.476885e-02
36.55         	2.273993e-02
36.6          	2.142217e-02
36.65         	8.960825e-03
36.7          	2.116556e-02
36.75         	2.422369e-02
36.8          	2.802295e-02
36.85         	1.339815e-02
36.9          	3.091722e-02
36.95         	3.373450e-02
37            	2.108754e-02
37.05         	1.284347e-02
37.1          	1.994963e-02
37.15         	2.705745e-02
37.2          	2.165854e-02
37.25         	1.512459e-02
37.3          	1.354677e-02
37.35         	1.292278e-02
37.4          	1.268271e-02
37.45         	1.310973e-02
37.5          	1.384938e-02
37.55         	1.487909e-02
37.6          	2.920145e-03
37.65         	1.813235e-02
37.7          	1.705848e-02
37.75         	1.634160e-02
37.8          	1.592387e-02
37.85         	1.572738e-02
37.9          	1.566168e-02
37.95         	1.553729e-02
38            	1.519759e-02
38.05         	1.416488e-02
38.1          	1.289196e-02
38.15         	1.160137e-02
38.2          	1.031597e-02
38.25         	9.135298e-03
38.3          	7.888409e-03
38.35         	6.492263e-03
38.4          	5.288182e-03
38.45         	4.595205e-03
38.5          	3.907804e-03
38.55         	1.242431e-03
38.6          	1.509055e-03
38.65         	4.291682e-03
38.7          	7.114990e-03
38.75         	9.934371e-03
38.8          	1.212332e-02
38.85         	1.345290e-02
38.9          	1.467420e-02
38.95         	1.582113e-02
39            	1.704908e-02
39.05         	1.817972e-02
39.1          	1.481863e-02
39.15         	1.185738e-02
39.2          	1.402986e-02
39.25         	8.378768e-03
39.3          	2.570366e-03
39.35         	3.778114e-03
39.4          	1.053463e-02
39.45         	1.794839e-02
39.5          	1.356463e-02
39.55         	2.653504e-02
39.6          	2.704949e-02
39.65         	1.138148e-02
39.7          	1.405297e-02
39.75         	2.822185e-02
39.8          	1.684850e-02
39.85         	6.037785e-03
39.9          	1.192808e-02
39.95         	2.627015e-02
40            	2.580732e-02
40.05         	2.499483e-02
40.1          	2.430087e-02
40.15         	2.366603e-02
40.2          	2.377125e-02
40.25         	2.395161e-02
40.3          	6.530639e-03
40.35         	1.752063e-02
40.4          	4.239798e-03
40.45         	1.671914e-02
40.5          	1.429394e-02
40.55         	1.201267e-02
40.6          	9.978317e-03
40.65         	8.371360e-03
40.7          	7.738778e-03
40.75         	8.227356e-03
40.8          	9.748054e-03
40.85         	1.193242e-02
40.9          	1.455828e-02
40.95         	1.747301e-02
41            	2.062906e-02
41.05         	2.370230e-02
41.1          	2.708640e-02
41.15         	3.021057e-02
41.2          	3.323106e-02
41.25         	3.632247e-02
41.3          	3.699789e-02
41.35         	3.560777e-02
41.4          	3.410025e-02
41.45         	3.193708e-02
41.5          	2.981739e-02
41.55         	2.744869e-02
41.6          	2.465151e-02
41.65         	2.179471e-02
41.7          	1.926466e-02
41.75         	1.706740e-02
41.8          	1.483935e-02
41.85         	1.243395e-02
41.9          	9.848689e-03
41.95         	7.267594e-03
42            	4.651863e-03
42.05         	1.871691e-03
42.1          	1.638692e-03
42.15         	4.964326e-03
42.2          	8.986628e-03
42.25         	1.400380e-02
42.3          	1.906765e-02
42.35         	2.537609e-02
42.4          	2.526633e-02
42.45         	2.256370e-02
42.5          	2.005869e-02
42.55         	1.796399e-02
42.6          	1.746639e-02
42.65         	1.649072e-02
42.7          	1.282131e-02
42.75         	2.189312e-02
42.8          	2.569256e-02
42.85         	1.484168e-02
42.9          	3.378031e-02
42.95         	3.820775e-02
43            	2.445703e-02
43.05         	1.364433e-02
43.1          	1.860522e-02
43.15         	2.517045e-02
43.2          	1.807096e-02
43.25         	1.337320e-02
43.3          	1.214443e-02
43.35         	1.152787e-02
43.4          	1.150727e-02
43.45         	1.187998e-02
43.5          	1.253627e-02
43.55         	1.334233e-02
43.6          	1.459302e-02
43.65         	1.611178e-02
43.7          	1.820211e-02
43.75         	1.917287e-02
43.8          	1.874611e-02
43.85         	1.858759e-02
43.9          	1.840873e-02
43.95         	1.807946e-02
44            	1.740500e-02
44.05         	1.621314e-02
44.1          	1.479561e-02
44.15         	1.335917e-02
44.2          	1.192305e-02
44.25         	1.046045e-02
44.3          	8.817379e-03
44.35         	7.166891e-03
44.4          	5.652539e-03
44.45         	3.152977e-03
44.5          	3.051453e-04
44.55         	2.618667e-03
44.6          	5.532424e-03
44.65         	7.914891e-03
44.7          	9.262479e-03
44.75         	1.057748e-02
44.8          	1.192301e-02
44.85         	1.317981e-02
44.9          	1.434598e-02
44.95         	1.547892e-02
45            	1.233146e-02
45.05         	8.348234e-03
45.1          	8.986871e-03
45.15         	1.325337e-02
45.2          	9.757509e-03
45.25         	4.182441e-03
45.3          	2.153732e-03
45.35         	9.399641e-03
45.4          	1.670802e-02
45.45         	1.639911e-02
45.5          	2.381676e-02
45.55         	2.441109e-02
45.6          	1.454956e-03
45.65         	2.436511e-02
45.7          	2.577471e-02
45.75         	2.558871e-02
45.8          	1.505095e-02
45.85         	1.267023e-02
45.9          	1.841382e-02
45.95         	2.369428e-02
46            	2.295975e-02
46.05         	2.230285e-02
46.1          	2.189709e-02
46.15         	2.213926e-02
46.2          	2.233653e-02
46.25         	2.251742e-02
46.3          	1.424131e-02
46.35         	7.793019e-03
46.4          	2.025443e-02
46.45         	1.768122e-02
46.5          	1.512466e-02
46.55         	1.274762e-02
46.6          	1.056372e-02
46.65         	8.823869e-03
46.7          	8.033016e-03
46.75         	8.455374e-03
