# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
30.15         	2.808876e+00
30.2          	2.804797e+00
30.25         	2.800025e+00
30.3          	2.794440e+00
30.35         	2.788255e+00
30.4          	2.781414e+00
30.45         	2.774486e+00
30.5          	2.767142e+00
30.55         	2.759262e+00
30.6          	2.751194e+00
30.65         	2.747676e+00
30.7          	2.752518e+00
30.75         	2.757506e+00
30.8          	2.762279e+00
30.85         	2.766845e+00
30.9          	2.771064e+00
30.95         	2.775410e+00
31            	2.780077e+00
31.05         	2.785104e+00
31.1          	2.790493e+00
31.15         	2.796281e+00
31.2          	2.802516e+00
31.25         	2.809083e+00
31.3          	2.815935e+00
31.35         	2.823003e+00
31.4          	2.829872e+00
31.45         	2.836275e+00
31.5          	2.841986e+00
31.55         	2.846738e+00
31.6          	2.850291e+00
31.65         	2.852614e+00
31.7          	2.853691e+00
31.75         	2.853654e+00
31.8          	2.852786e+00
31.85         	2.851500e+00
31.9          	2.850196e+00
31.95         	2.849092e+00
32            	2.894359e+00
32.05         	2.941348e+00
32.1          	2.939247e+00
32.15         	2.894472e+00
32.2          	2.979475e+00
32.25         	3.034279e+00
32.3          	3.028354e+00
32.35         	2.968704e+00
32.4          	2.868298e+00
32.45         	2.855669e+00
32.5          	2.853158e+00
32.55         	2.849092e+00
32.6          	2.843376e+00
32.65         	2.836024e+00
32.7          	2.827159e+00
32.75         	2.817006e+00
32.8          	2.805756e+00
32.85         	2.796740e+00
32.9          	2.837216e+00
32.95         	2.866760e+00
33            	2.886167e+00
33.05         	2.895685e+00
33.1          	2.897500e+00
33.15         	2.893122e+00
33.2          	2.884553e+00
33.25         	2.873806e+00
33.3          	2.861976e+00
33.35         	2.849891e+00
33.4          	2.838281e+00
33.45         	2.839258e+00
33.5          	2.855027e+00
33.55         	2.869457e+00
33.6          	2.882419e+00
33.65         	2.893710e+00
33.7          	2.902962e+00
33.75         	2.910178e+00
33.8          	2.915178e+00
33.85         	2.918274e+00
33.9          	2.918988e+00
33.95         	2.917323e+00
34            	2.913474e+00
34.05         	2.907288e+00
34.1          	2.898827e+00
34.15         	2.888555e+00
34.2          	2.876061e+00
34.25         	2.861375e+00
34.3          	2.844412e+00
34.35         	2.825651e+00
34.4          	2.805196e+00
34.45         	2.782873e+00
34.5          	2.760213e+00
34.55         	2.766761e+00
34.6          	2.774282e+00
34.65         	2.781510e+00
34.7          	2.788261e+00
34.75         	2.794798e+00
34.8          	2.801098e+00
34.85         	2.806930e+00
34.9          	2.812264e+00
34.95         	2.817020e+00
35            	2.821065e+00
35.05         	2.824181e+00
35.1          	2.826829e+00
35.15         	2.828835e+00
35.2          	2.830186e+00
35.25         	2.830757e+00
35.3          	2.830580e+00
35.35         	2.829839e+00
35.4          	2.828979e+00
35.45         	2.827775e+00
35.5          	2.826112e+00
35.55         	2.823980e+00
35.6          	2.821004e+00
35.65         	2.817247e+00
35.7          	2.813137e+00
35.75         	2.808485e+00
35.8          	2.803181e+00
35.85         	2.797125e+00
35.9          	2.792087e+00
35.95         	2.789780e+00
36            	2.787037e+00
36.05         	2.783944e+00
36.1          	2.780446e+00
36.15         	2.776452e+00
36.2          	2.771894e+00
36.25         	2.766693e+00
36.3          	2.760892e+00
36.35         	2.754476e+00
36.4          	2.747800e+00
36.45         	2.740891e+00
36.5          	2.733918e+00
36.55         	2.741291e+00
36.6          	2.747953e+00
36.65         	2.753879e+00
36.7          	2.759167e+00
36.75         	2.764640e+00
36.8          	2.769973e+00
36.85         	2.775089e+00
36.9          	2.779959e+00
36.95         	2.784944e+00
37            	2.790275e+00
37.05         	2.795773e+00
37.1          	2.801522e+00
37.15         	2.807556e+00
37.2          	2.813798e+00
37.25         	2.819976e+00
37.3          	2.826371e+00
37.35         	2.832686e+00
37.4          	2.838608e+00
37.45         	2.843716e+00
37.5          	2.848067e+00
37.55         	2.851532e+00
37.6          	2.854007e+00
37.65         	2.855351e+00
37.7          	2.855563e+00
37.75         	2.854911e+00
37.8          	2.853725e+00
37.85         	2.852388e+00
37.9          	2.851256e+00
37.95         	2.850548e+00
38            	2.878606e+00
38.05         	2.912974e+00
38.1          	2.900341e+00
38.15         	2.854160e+00
38.2          	2.961819e+00
38.25         	3.013271e+00
38.3          	3.005046e+00
38.35         	2.944255e+00
38.4          	2.860181e+00
38.45         	2.858730e+00
38.5          	2.855926e+00
38.55         	2.851449e+00
38.6          	2.845277e+00
38.65         	2.837410e+00
38.7          	2.827982e+00
38.75         	2.817214e+00
38.8          	2.805390e+00
