# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
30.65         	-1.584947e+00
30.7          	-1.576089e+00
30.75         	-1.597917e+00
30.8          	-1.609022e+00
30.85         	-1.634733e+00
30.9          	-1.609518e+00
30.95         	-1.617058e+00
31            	-1.637399e+00
31.05         	-1.638821e+00
31.1          	-1.647208e+00
31.15         	-1.655064e+00
31.2          	-1.664151e+00
31.25         	-1.716985e+00
31.3          	-1.627736e+00
31.35         	-1.638919e+00
31.4          	-1.627364e+00
31.45         	-1.625469e+00
31.5          	-1.611862e+00
31.55         	-1.598837e+00
31.6          	-1.584439e+00
31.65         	-1.571185e+00
31.7          	-1.561877e+00
31.75         	-1.565834e+00
31.8          	-1.573661e+00
31.85         	-1.571493e+00
31.9          	-1.609297e+00
31.95         	-1.714184e+00
32            	-1.900029e+00
32.05         	-1.821311e+00
32.1          	-1.732823e+00
32.15         	-1.775755e+00
32.2          	-1.814879e+00
32.25         	-1.851446e+00
32.3          	-1.864258e+00
32.35         	-1.875519e+00
32.4          	-1.811531e+00
32.45         	-1.799573e+00
32.5          	-1.851758e+00
32.55         	-1.870478e+00
32.6          	-1.860867e+00
32.65         	-1.833490e+00
32.7          	-1.757819e+00
32.75         	-1.695370e+00
32.8          	-1.634103e+00
32.85         	-1.656389e+00
32.9          	-1.731666e+00
32.95         	-1.696639e+00
33            	-1.726775e+00
33.05         	-1.764627e+00
33.1          	-1.752750e+00
33.15         	-1.794987e+00
33.2          	-1.798460e+00
33.25         	-1.817349e+00
33.3          	-1.835274e+00
33.35         	-1.861944e+00
33.4          	-1.889846e+00
33.45         	-1.898189e+00
33.5          	-1.916005e+00
33.55         	-1.904707e+00
33.6          	-1.891828e+00
33.65         	-1.873891e+00
33.7          	-1.885908e+00
33.75         	-1.897600e+00
33.8          	-1.867761e+00
33.85         	-1.866720e+00
33.9          	-1.875967e+00
33.95         	-1.880231e+00
34            	-1.870727e+00
34.05         	-1.875883e+00
34.1          	-1.863018e+00
34.15         	-1.888567e+00
34.2          	-1.919725e+00
34.25         	-1.930449e+00
34.3          	-1.938262e+00
34.35         	-1.939603e+00
34.4          	-1.907637e+00
34.45         	-1.906709e+00
34.5          	-1.901196e+00
34.55         	-1.921433e+00
34.6          	-1.939309e+00
34.65         	-1.965361e+00
34.7          	-1.949344e+00
34.75         	-1.990278e+00
34.8          	-2.012763e+00
34.85         	-2.013792e+00
34.9          	-2.017900e+00
34.95         	-2.025448e+00
35            	-2.029989e+00
35.05         	-2.025369e+00
